idx,date,open,high,low,close,volume,transaction_value,listed_stock_amount,market_capitalization,foreigner_limit_buy_quantity,foreigner_available_buy_quantity,foreigner_holding_quantity,foreigner_holding_rate,agency_net_buy_quantity,agency_accumulate_net_buy_quantity,advance_decline_line,advance_decline_ratio,deposit,turnover_ratio,transaction_completion_rate
4721,20030507,6345,6473,6278,6368,108800,691000000,13768000,87674000000,13768898,12684908,1083990,7.869999885559082,0,0,0,0.0,0,0.0,0.0
4720,20030509,6368,6420,6270,6338,52342,332000000,13768000,87261000000,13768898,12684908,1083990,7.869999885559082,0,0,0,0.0,0,0.0,0.0
4719,20030512,6383,6488,6375,6390,87506,562000000,13768000,87977000000,13768898,12684908,1083990,7.869999885559082,0,0,0,0.0,0,0.0,0.0
4718,20030513,6398,6450,6255,6285,59826,381000000,13768000,86531000000,13768898,12684908,1083990,7.869999885559082,0,0,0,0.0,0,0.0,0.0
4717,20030514,6435,6488,6300,6428,69136,443000000,13768000,88500000000,13768898,12684908,1083990,7.869999885559082,0,0,0,0.0,0,0.0,0.0
4716,20030515,6465,7125,6465,6818,285204,1944000000,13768000,93870000000,13768898,12684908,1083990,7.869999885559082,0,0,0,0.0,0,0.0,0.0
4715,20030516,6863,6968,6638,6825,139400,949000000,13768000,93966000000,13768898,12684908,1083990,7.869999885559082,0,0,0,0.0,0,0.0,0.0
4714,20030519,6750,6825,6638,6750,121080,811000000,13768000,92934000000,13768898,12689108,1079790,7.840000152587891,0,0,0,0.0,0,0.0,0.0
4713,20030520,6600,7035,6600,6915,125413,864000000,13768000,95205000000,13768898,12685108,1083790,7.869999885559082,0,0,0,0.0,0,0.0,0.0
4712,20030521,6840,7103,6840,6915,100733,701000000,13768000,95205000000,13768898,12685108,1083790,7.869999885559082,0,0,0,0.0,0,0.0,0.0
4711,20030522,6833,7043,6608,6705,282545,1909000000,13768000,92314000000,13768898,12685108,1083790,7.869999885559082,0,0,0,0.0,0,0.0,0.0
4710,20030523,6728,6968,6683,6825,93364,637000000,13768000,93966000000,13768898,12685108,1083790,7.869999885559082,0,0,0,0.0,0,0.0,0.0
4709,20030526,6825,6900,6765,6848,96616,661000000,13768000,94283000000,13768898,12685108,1083790,7.869999885559082,0,0,0,0.0,0,0.0,0.0
4708,20030527,6975,7260,6840,7200,210054,1475000000,13768000,99129000000,13768898,12685108,1083790,7.869999885559082,0,0,0,0.0,0,0.0,0.0
4707,20030528,7253,8250,7253,8250,629610,5008000000,13768000,113586000000,13768898,12643108,1125790,8.180000305175781,0,0,0,0.0,0,0.0,0.0
4706,20030529,8400,8738,8063,8100,516761,4321000000,13768000,111520000000,13768898,12643108,1125790,8.180000305175781,0,0,0,0.0,0,0.0,0.0
4705,20030530,8250,8400,7800,7913,315082,2551000000,13768000,108946000000,13768898,12643108,1125790,8.180000305175781,0,0,0,0.0,0,0.0,0.0
4704,20030602,8175,9075,8025,9038,806504,7085000000,13768000,124435000000,13768898,12643108,1125790,8.180000305175781,0,0,0,0.0,0,0.0,0.0
4703,20030603,9525,10125,8625,8700,1677397,15565000000,13768000,119781000000,13768898,12665721,1103177,8.010000228881836,0,0,0,0.0,0,0.0,0.0
4702,20030604,9000,9150,8175,8475,450836,3848000000,13768000,116683000000,13768898,12665721,1103177,8.010000228881836,0,0,0,0.0,0,0.0,0.0
4701,20030605,8550,8813,8250,8288,238985,2006000000,13768000,114109000000,13768898,12687054,1081844,7.860000133514404,0,0,0,0.0,0,0.0,0.0
4700,20030609,8138,8475,7988,8063,233349,1893000000,13768000,111011000000,13768898,12687054,1081844,7.860000133514404,0,0,0,0.0,0,0.0,0.0
4699,20030610,7875,8288,7763,8213,196098,1577000000,13768000,113076000000,13768898,12687054,1081844,7.860000133514404,0,0,0,0.0,0,0.0,0.0
4698,20030611,8213,8288,7950,7950,169817,1376000000,13768000,109455000000,13768898,12687068,1081830,7.860000133514404,0,0,0,0.0,0,0.0,0.0
4697,20030612,7913,8138,7875,8063,135466,1081000000,13768000,111011000000,13768898,12687068,1081830,7.860000133514404,0,0,0,0.0,0,0.0,0.0
4696,20030613,8175,9225,8063,9150,643390,5662000000,13768000,125977000000,13768898,12689068,1079830,7.840000152587891,0,0,0,0.0,0,0.0,0.0
4695,20030616,9150,9150,8625,8663,250544,2210000000,13768000,119272000000,13768898,12689068,1079830,7.840000152587891,0,0,0,0.0,0,0.0,0.0
4694,20030617,8963,9000,8625,8775,202933,1787000000,13768000,120814000000,13768898,12689068,1079830,7.840000152587891,0,0,0,0.0,0,0.0,0.0
4693,20030618,8625,9338,8625,8813,335848,3013000000,13768000,121337000000,13768898,12689068,1079830,7.840000152587891,0,0,0,0.0,0,0.0,0.0
4692,20030619,8888,8925,8550,8625,179270,1564000000,13768000,118749000000,13768898,12724094,1044804,7.590000152587891,0,0,0,0.0,0,0.0,0.0
4691,20030620,8588,8775,8400,8550,121678,1040000000,13768000,117716000000,13768898,12745388,1023510,7.429999828338623,0,0,0,0.0,0,0.0,0.0
4690,20030623,8475,8700,8288,8288,133014,1120000000,13768000,114109000000,13768898,12744454,1024444,7.440000057220459,0,0,0,0.0,0,0.0,0.0
4689,20030624,8250,8250,7725,7913,253626,2006000000,13768000,108946000000,13768898,12744454,1024444,7.440000057220459,0,0,0,0.0,0,0.0,0.0
4688,20030625,8138,8138,7838,7950,106274,848000000,13768000,109455000000,13768898,12744321,1024577,7.440000057220459,0,0,0,0.0,0,0.0,0.0
4687,20030626,7913,7988,7725,7800,115234,904000000,13768000,107390000000,13768898,12744321,1024577,7.440000057220459,0,0,0,0.0,0,0.0,0.0
4686,20030627,7800,7950,7650,7800,99373,774000000,13768000,107390000000,13768898,12744321,1024577,7.440000057220459,0,0,0,0.0,0,0.0,0.0
4685,20030630,8025,8513,7950,8213,296044,2457000000,13768000,113076000000,13768898,12690294,1078604,7.829999923706055,0,0,0,0.0,0,0.0,0.0
4684,20030701,8063,8475,8063,8400,157166,1313000000,13768000,115651000000,13768898,12685094,1083804,7.869999885559082,0,0,0,0.0,0,0.0,0.0
4683,20030702,8550,8775,8288,8625,210561,1798000000,13768000,118749000000,13768898,12655801,1113097,8.079999923706055,0,0,0,0.0,0,0.0,0.0
4682,20030703,8663,9375,8625,9075,432746,3938000000,13768000,124944000000,13768898,12568588,1200310,8.720000267028809,0,0,0,0.0,0,0.0,0.0
4681,20030704,9000,9075,8888,8963,161201,1448000000,13768000,123402000000,13768898,12549614,1219284,8.859999656677246,0,0,0,0.0,0,0.0,0.0
4680,20030707,9150,9225,8888,9000,194840,1755000000,13768000,123912000000,13768898,12522854,1246044,9.050000190734863,0,0,0,0.0,0,0.0,0.0
4679,20030708,9075,10313,9000,9900,1184310,11652000000,13768000,136303000000,13768898,12391894,1377004,10.0,0,0,0,0.0,0,0.0,0.0
4678,20030709,9975,10050,9675,9900,193876,1918000000,13768000,136303000000,13768898,12391894,1377004,10.0,0,0,0,0.0,0,0.0,0.0
4677,20030710,9975,9975,9525,9900,281050,2728000000,13768000,136303000000,13768898,12376588,1392310,10.109999656677246,0,0,0,0.0,0,0.0,0.0
4676,20030711,9600,10163,9450,9863,273361,2693000000,13768000,135793000000,13768898,12387881,1381017,10.029999732971191,0,0,0,0.0,0,0.0,0.0
4675,20030714,9788,9938,9638,9750,126770,1244000000,13768000,134238000000,13768898,12388281,1380617,10.029999732971191,0,0,0,0.0,0,0.0,0.0
4674,20030715,9750,9750,9150,9150,286810,2694000000,13768000,125977000000,13768898,12378734,1390164,10.100000381469727,0,0,0,0.0,0,0.0,0.0
4673,20030716,9075,9375,9075,9263,102638,945000000,13768000,127532000000,13768898,12378734,1390164,10.100000381469727,0,0,0,0.0,0,0.0,0.0
4672,20030718,9000,9225,8888,8963,147773,1332000000,13768000,123402000000,13768898,12378734,1390164,10.100000381469727,0,0,0,0.0,0,0.0,0.0
4671,20030721,9038,9450,8850,9263,166746,1535000000,13768000,127532000000,13768898,12378734,1390164,10.100000381469727,0,0,0,0.0,0,0.0,0.0
4670,20030722,9075,9300,9075,9225,85870,788000000,13768000,127009000000,13768898,12378334,1390564,10.100000381469727,0,0,0,0.0,0,0.0,0.0
4669,20030723,9300,9900,9300,9638,235374,2257000000,13768000,132695000000,13768898,12378334,1390564,10.100000381469727,0,0,0,0.0,0,0.0,0.0
4668,20030724,9713,9713,9525,9638,64841,622000000,13768000,132695000000,13768898,12378334,1390564,10.100000381469727,0,0,0,0.0,0,0.0,0.0
